priority,employer,sector,dfw_location,domain,target_role_families,ats,slug,checked_date,notes
EXAMPLE,EXAMPLE CO — delete this row,Example sector,Plano,example.com,Marketing,greenhouse,examplecoinc,2026-08-17,Verified: boards.greenhouse.io/examplecoinc returns JSON
1,Charles Schwab,Financial Services,Westlake,schwab.com,"Financial analyst; client service associate; risk/compliance",,,,Enterprise HCM likely — check for myworkdayjobs.com
1,Fidelity Investments,Financial Services,Westlake,fidelity.com,"Financial analyst; client service associate; operations associate",,,,Large DFW campus; heavy entry-level hiring
1,Goldman Sachs,Financial Services,Dallas,goldmansachs.com,"Financial analyst; operations analyst; risk associate",,,,Named in DFW market research as expanding
1,JPMorgan Chase,Financial Services,Plano,jpmorganchase.com,"Financial analyst; credit analyst; operations associate",,,,Enterprise HCM likely
1,Fisher Investments,Financial Services,Plano,fisherinvestments.com,"Client service associate; financial analyst",,,,Named in market research (client service profiling)
1,Bank of America,Financial Services,Dallas / Fort Worth,bankofamerica.com,"Credit analyst; operations associate; risk/compliance",,,,Enterprise HCM likely
1,Comerica,Financial Services,Dallas,comerica.com,"Credit analyst; underwriting assistant; client service",,,,Mid-size — worth checking non-Workday platforms
1,USAA,Financial Services / Insurance,Plano,usaa.com,"Claims trainee; underwriting associate; client service",,,,Large Plano campus
1,Mr. Cooper Group,Financial Services,Coppell,mrcoopergroup.com,"Underwriting assistant; operations associate; risk",,,,Mid-market — reasonable odds of a readable board
1,Capital One,Financial Services,Plano,capitalone.com,"Data analyst; risk analyst; business analyst",,,,
1,Globe Life,Insurance,McKinney,globelifeinsurance.com,"Claims trainee; underwriting associate",,,,Smaller HQ headcount but entry-heavy
2,Deloitte,Consulting / Accounting,Dallas & Westlake,deloitte.com,"Consulting analyst; audit associate; tax associate; business analyst",,,,Deloitte University in Westlake; major DFW campus recruiter
2,PwC,Consulting / Accounting,Dallas,pwc.com,"Audit associate; tax associate; consulting analyst",,,,
2,EY,Consulting / Accounting,Dallas,ey.com,"Audit associate; tax associate; risk assurance associate",,,,
2,KPMG,Consulting / Accounting,Dallas,kpmg.us,"Audit associate; tax associate; advisory associate",,,,
2,Accenture,Consulting / Technology,Irving,accenture.com,"Consulting analyst; implementation associate; business analyst",,,,
2,Jacobs,Engineering / Professional Services,Dallas,jacobs.com,"Project coordinator; business analyst",,,,
2,Fluor,Engineering / Construction,Irving,fluor.com,"Project coordinator; procurement associate",,,,
2,CBRE Group,Real Estate / Professional Services,Dallas,cbre.com,"Analyst; project coordinator; marketing coordinator",,,,Named in market research
3,AT&T,Technology / Telecom,Dallas,att.com,"Data analyst; marketing coordinator; business systems associate",,,,Enterprise HCM likely
3,Texas Instruments,Technology / Semiconductors,Dallas,ti.com,"Data analyst; supply chain associate; IT support",,,,
3,Toyota Motor North America,Automotive / Technology,Plano,toyota.com,"Supply chain associate; marketing coordinator; data analyst",,,,Named in market research
3,Match Group,Technology,Dallas,mtch.com,"Data analyst; marketing coordinator; QA analyst",lever,,,VERIFIED Lever in Aug 6 test run — 82 postings returned
3,Solera,Technology / Data,Westlake,solera.com,"Data analyst; market research analyst",,,,Named in market research
3,Vistra Energy,Energy / Utilities,Irving,vistracorp.com,"Data analyst; business analyst; procurement associate",,,,
3,Atmos Energy,Utilities,Dallas,atmosenergy.com,"Business analyst; procurement associate; HR coordinator",,,,
4,Baylor Scott & White Health,Healthcare,Dallas,bswhealth.com,"Revenue cycle associate; patient access; health data associate",,,,Largest not-for-profit health system in Texas
4,Texas Health Resources,Healthcare,Arlington,texashealth.org,"Revenue cycle associate; healthcare admin coordinator",,,,
4,Medical City Healthcare (HCA),Healthcare,Dallas,medicalcityhealthcare.com,"Revenue cycle associate; patient access specialist",,,,Named in market research (revenue cycle documentation)
4,Tenet Healthcare,Healthcare,Dallas,tenethealth.com,"Revenue cycle analyst; healthcare admin coordinator",,,,
4,UT Southwestern Medical Center,Healthcare / Education,Dallas,utsouthwestern.edu,"Clinical research coordinator; health data associate; admin coordinator",,,,Public institution — separate hiring system likely
4,Parkland Health,Healthcare,Dallas,parklandhealth.org,"Patient access specialist; revenue cycle associate",,,,Public hospital district
4,McKesson,Healthcare / Wholesale,Irving,mckesson.com,"Supply chain associate; data analyst; revenue cycle",,,,
5,American Airlines,Transportation,Fort Worth,aa.com,"Logistics coordinator; data analyst; HR coordinator",,,,Named in market research
5,Southwest Airlines,Transportation,Dallas,southwest.com,"Logistics coordinator; HR coordinator; marketing coordinator",,,,
5,Amazon,Logistics / Technology,Multiple DFW,amazon.com,"Logistics coordinator; inventory planner; area manager",,,,30+ DFW facilities; own careers system
5,Walmart,Retail / Supply Chain,Multiple DFW,walmart.com,"Supply chain associate; merchandising; inventory planner",,,,
5,Lennox International,Industrial / Manufacturing,Richardson,lennoxinternational.com,"Marketing coordinator; supply chain associate; CRM associate",,,,Named in market research (RevOps + Salesforce)
5,Kimberly-Clark,Consumer Products,Irving,kimberly-clark.com,"Marketing coordinator; supply chain associate; demand planning",,,,
5,Sally Beauty Holdings,Retail,Denton,sallybeautyholdings.com,"Merchandising associate; marketing coordinator; inventory planner",,,,
5,Michaels,Retail,Irving,michaels.com,"Merchandising associate; marketing coordinator; supply chain",,,,
5,GameStop,Retail,Grapevine,gamestop.com,"Merchandising; marketing coordinator; e-commerce associate",,,,
5,Builders FirstSource,Building Materials,Dallas,bldr.com,"Procurement associate; supply chain associate",,,,
5,Copart,Automotive Services,Dallas,copart.com,"Operations associate; data analyst",,,,
