term,category,hot_technology
Microsoft Excel,Spreadsheet software,TRUE
Go,Development environment software,TRUE
Tax,Accounting software,FALSE
R,Object or component oriented development software,TRUE
C,Development environment software,TRUE
Git,File versioning software,TRUE
ADP,Enterprise resource planning ERP software,FALSE
AWK,Development environment software,FALSE
Ada,Development environment software,FALSE
BWA,Analytical or scientific software,FALSE
C#,Object or component oriented development software,TRUE
C++,Object or component oriented development software,TRUE
ERP,Enterprise resource planning ERP software,FALSE
Eko,Desktop communications software,FALSE
HMS,Medical software,FALSE
KMR,Analytical or scientific software,FALSE
Lua,Object or component oriented development software,FALSE
Nvu,Web page creation and editing software,FALSE
PHP,Web platform development software,TRUE
QNX,Operating system software,FALSE
RSS,Web platform development software,FALSE
SAP,Enterprise resource planning ERP software,TRUE
SAS,Analytical or scientific software,TRUE
WAM,Compliance software,FALSE
eXe,Web page creation and editing software,FALSE
sK1,Graphics or photo imaging software,FALSE
xv,Graphics or photo imaging software,FALSE
Analytical,Analytical or scientific software,FALSE
Google Analytics,Data mining software,TRUE
Epic,Medical software,TRUE
Dental,Medical software,FALSE
Social media,Web page creation and editing software,FALSE
TikTok,Video creation and editing software,TRUE
Adobe Analytics,Analytical or scientific software,FALSE
Legal,Expert system software,FALSE
Modeling,Analytical or scientific software,FALSE
Python,Object or component oriented development software,TRUE
Data analysis,Analytical or scientific software,FALSE
Database,Data base user interface and query software,FALSE
LinkedIn,Web page creation and editing software,FALSE
Pinterest,Information retrieval or search software,FALSE
PayPal,Point of sale POS software,FALSE
Data visualization,Analytical or scientific software,FALSE
Google Ads,Sales and marketing software,FALSE
Pricing,Financial analysis software,FALSE
Sales,Point of sale POS software,FALSE
Shipping,Materials requirements planning logistics and supply chain software,FALSE
Auditing,Financial analysis software,FALSE
Automated,Industrial control software,FALSE
Budgeting,Accounting software,FALSE
Deployment,Configuration management software,FALSE
Figma,Graphical user interface development software,TRUE
Google Slides,Presentation software,FALSE
LangChain,Object or component oriented development software,FALSE
Node.js,Web platform development software,TRUE
Troubleshooting,Analytical or scientific software,FALSE
Workflow,Content workflow software,FALSE
Zoom,Video conferencing software,TRUE
Addressing,Word processing software,FALSE
Ansible,Expert system software,TRUE
Conversion,Analytical or scientific software,FALSE
Docker,Application server software,TRUE
Google Sheets,Spreadsheet software,TRUE
Inventory,Inventory management software,FALSE
JavaScript,Web platform development software,TRUE
Kubernetes,Application server software,TRUE
Programming languages,Development environment software,FALSE
React,Web platform development software,TRUE
Scheduling,Calendar and scheduling software,FALSE
Tableau,Business intelligence and data analysis software,TRUE
YouTube,Video creation and editing software,FALSE
BigQuery,Data base user interface and query software,FALSE
Chat,Network conferencing software,FALSE
Debugging,Program testing software,FALSE
Kotlin,Development environment software,FALSE
Microsoft PowerPoint,Presentation software,TRUE
MongoDB,Data base management system software,TRUE
MySQL,Data base user interface and query software,TRUE
Redis,Data base management system software,TRUE
Semrush,Web platform development software,FALSE
Software development,Development environment software,FALSE
Statistical,Analytical or scientific software,FALSE
Statistics,Analytical or scientific software,FALSE
Survey,Analytical or scientific software,FALSE
Verification,Analytical or scientific software,FALSE
Version control,File versioning software,FALSE
Adobe After Effects,Video creation and editing software,TRUE
Adobe Creative Cloud,Graphics or photo imaging software,TRUE
Adobe XD,Graphics or photo imaging software,FALSE
Airtable,Data base user interface and query software,FALSE
Algorithmic,Analytical or scientific software,FALSE
Amazon Redshift,Data base user interface and query software,TRUE
Animation,Video creation and editing software,FALSE
Apache Spark,Business intelligence and data analysis software,TRUE
Application management,Configuration management software,FALSE
Asana,Cloud-based data access and sharing software,TRUE
Billing,Billing and invoicing software,FALSE
Business intelligence,Business intelligence and data analysis software,FALSE
Calendar,Calendar and scheduling software,FALSE
Calibration,Analytical or scientific software,FALSE
Capacity planning,Requirements analysis and system architecture software,FALSE
Chef,Configuration management software,TRUE
Data warehousing,Document management software,FALSE
Django,Web platform development software,TRUE
Drafting,Map creation software,FALSE
Editing,Word processing software,FALSE
Email,Electronic mail software,FALSE
Flask,Development environment software,FALSE
GitHub,Application server software,TRUE
Google Workspace,Office suite software,TRUE
Graphics,Graphics or photo imaging software,FALSE
Instagram,Instant messaging software,FALSE
Microsoft Office,Office suite software,TRUE
Mobile application,Mobile operator specific application software,FALSE
Motion graphics,Graphics or photo imaging software,FALSE
Podcasting,Web page creation and editing software,FALSE
